Latitude,Longitude
-33.9823958,151.0450193
-32.8492605,115.9082511
-38.4844465,145.724153
-34.855289,142.800873
-17.861739,145.9782006
-33.815,149.6011111
46.3040364,-109.1714312
-38.078025,145.7731177
38.5303187,-84.819254
-39.9324904,175.0519306
-38.30736,144.1072089
-35.37195,149.0878797
45.4710329,-89.7314472
-34.1236773,141.9893911
-38.5922037,145.5751597
-32.8316667,149.9011111
-28.7677778,152.855
-26.8994155,151.8883388
-29.1318,153.2679
-33.6039465,115.7654952
-36.266172,143.2136167
-30.276033,152.628981
47.2455013,-122.438329
-25.421037,142.6551049
-44.7332211,167.812172
-33.5483333,150.701111
21.9596834,96.0948743
-27.2508529,152.9927887
-34.471036,139.0298806
-29.7107,151.2365
-42.8238016,147.3196055
-41.24782,147.50048
-34.8150257,147.672675
-42.7885865,147.6670832
-35.5316667,149.6677778
53.1695744,-2.8046544
-34.8034564,138.6443173
-35.3114785,149.1831218
-33.8766373,151.24245
-33.9869843,151.1169446
-34.5985,148.7512
49.3426101,-121.656716
-32.5587154,151.6185048
-27.5306078,151.9558602
-33.4733333,149.3761111
-51.3787513,-58.011522
33.6795531,-84.4393724
-33.015529,118.4630197
-34.5418228,150.784154
39.3773225,-77.7330482
-28.3926745,115.2296397
-35.0109543,117.7291402
-31.1902,152.6846
42.3334675,-83.0345002
-34.5329,148.2352
-26.351462,151.7457686
-30.2357645,117.0139529
48.4255768,21.7170417
-33.7829422,138.2147186
-26.3453044,152.6746864
55.8406166,-4.2370176
50.8214626,-0.1400561
-33.415,151.1594444
-34.9362351,138.5796735
-21.267981,149.1842979
-41.68414,146.67624
40.1098561,-76.5033406
-36.3614605,144.5308853
-37.8301386,140.7842627
-37.7044232,144.9173351
-40.8055433,145.0272686
45.8902119,-64.3674141
39.4328491,-82.0968114
-37.2752228,149.7803801
-42.6842229,147.2661646
41.4117626,-93.6479872
0.0499786,37.6500063
62.30656,-112.6476288
47.7131534,-122.3212307
-27.846373,152.8349641
-37.8752857,145.3350823
-35.5040582,138.3139348
39.9898823,-121.5410842
6.66667,2.25
-28.3638889,153.5747222
-33.0947,151.552
-33.4210397,116.4845933
-32.1706225,118.9862364
-26.660559,152.9780673
-28.7691782,153.1350608
-28.254958,151.7242101
-34.718991,140.729907
-33.5566667,149.5677778
-41.4393032,147.1534652
-24.330417,150.5838183
51.3937557,-0.3033105
-33.7698254,150.8123527
-34.54083,115.86
